country,cause,year,total
Australia,Certain infectious and parasitic diseases,2002,11.2
Australia,Certain infectious and parasitic diseases,1998,10.4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1982,5.6
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1983,5.5
Australia,Total,1992,1068.6
Australia,Total,1993,1022
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1986,4.3
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1987,4.4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1988,4.3
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1989,4.3
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1990,4.1
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1991,4.1
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1992,4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2019,2.8
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2020,2.6
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1995,3.3
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2021,2.7
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2022,2.7
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1996,3.2
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1997,3.8
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1999,3.5
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2000,3.1
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2001,3
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2002,2.9
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2003,3
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2004,2.9
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2006,2.7
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2007,2.8
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2008,2.8
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2009,2.8
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2010,2.7
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2011,2.4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2012,2.4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2013,2.6
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1984,5
Australia,"Congenital malformations, deformations and chromosomal abnormalities",1985,5.2
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2018,2.6
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2015,2.4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2016,2.4
Australia,"Congenital malformations, deformations and chromosomal abnormalities",2017,2.6
Australia,Neoplasms,1982,263.3
Australia,Neoplasms,1983,266.3
Australia,Neoplasms,2020,194.3
Australia,Neoplasms,2021,195.8
Australia,Neoplasms,2022,195.1
Australia,Neoplasms,1998,252.7
Australia,Neoplasms,2010,224.3
Australia,Neoplasms,2011,222.2
Australia,Neoplasms,2012,215.1
Australia,Neoplasms,2013,214.7
Australia,Neoplasms,2014,209.6
Australia,Neoplasms,2015,213
Australia,Neoplasms,2016,206.4
Australia,Neoplasms,2017,201.1
Australia,Neoplasms,2018,202.2
Australia,Neoplasms,2019,205
Australia,Neoplasms,1984,269.2
Australia,Neoplasms,1985,271.8
Australia,Neoplasms,1986,264
Australia,Neoplasms,1987,267.1
Australia,Neoplasms,1988,267
Australia,Neoplasms,1989,270.2
Australia,Neoplasms,1990,264
Australia,Neoplasms,1991,265.2
Australia,Neoplasms,1992,265.1
Australia,Neoplasms,1993,265.7
Australia,Neoplasms,1994,269.7
Australia,Neoplasms,1999,247.5
Australia,Neoplasms,2000,245.7
