country,cause,year,total,,,,
Argentina,Accidental falls,1982,10.4,,,,
Argentina,Accidental poisoning,1982,1.2,,,,
Argentina,Accidents,1982,48.9,,,,
Argentina,Acute myocardial infarction,1982,115.9,,,,
Argentina,Assault,1982,4.8,,,,
Argentina,Cerebrovascular diseases,1982,176.6,,,,
Argentina,Certain conditions originating in the perinatal period,1982,21.4,,,,
Argentina,Certain infectious and parasitic diseases,1982,33.1,,,,
Argentina,Chronic liver diseases and cirrhosis,1982,20.6,,,,
Argentina,Chronic obstructive pulmonary diseases,1982,13.1,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1982,9.1,,,,
Argentina,Dementia,1982,2.7,,,,
Argentina,Diabetes mellitus,1982,31.8,,,,
Argentina,Diseases of the blood and blood-forming organs,1982,3.9,,,,
Argentina,Diseases of the circulatory system,1982,823.8,,,,
Argentina,Diseases of the digestive system,1982,76.5,,,,
Argentina,Diseases of the genitourinary system,1982,34.3,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1982,2.8,,,,
Argentina,Diseases of the nervous system,1982,13.9,,,,
Argentina,Diseases of the respiratory system,1982,83.1,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1982,0.8,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1982,48.3,,,,
Argentina,External causes of mortality,1982,71.5,,,,
Argentina,Influenza,1982,0.3,,,,
Argentina,Intentional self-harm,1982,9.9,,,,
Argentina,Ischaemic heart diseases,1982,198.2,,,,
Argentina,Leukemia,1982,7.3,,,,
Argentina,Malignant melanoma of skin,1982,1.2,,,,
Argentina,Malignant neoplasms,1982,256.9,,,,
Argentina,Malignant neoplasms of bladder,1982,8.6,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1982,26.5,,,,
Argentina,Malignant neoplasms of liver,1982,10.3,,,,
Argentina,Malignant neoplasms of stomach,1982,22.9,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1982,42.5,,,,
Argentina,Mental and behavioural disorders,1982,7,,,,
Argentina,Neoplasms,1982,263.7,,,,
Argentina,Peptic ulcer,1982,4.4,,,,
Argentina,Pneumonia,1982,35.8,,,,
Argentina,"Symptoms, signs, ill-defined causes",1982,49.1,,,,
Argentina,Total,1982,1543.7,,,,
Argentina,Transport Accidents,1982,18.2,,,,
Argentina,Tuberculosis,1982,8.1,,,,
Argentina,Certain infectious and parasitic diseases,1983,37.9,,,,
Argentina,Dementia,1983,3.2,,,,
Argentina,Peptic ulcer,1983,5,,,,
Argentina,Chronic liver diseases and cirrhosis,1983,20.8,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1983,2.7,,,,
Argentina,Diseases of the blood and blood-forming organs,1983,4.5,,,,
Argentina,Malignant melanoma of skin,1983,1.2,,,,
Argentina,Certain conditions originating in the perinatal period,1983,19.6,,,,
Argentina,Transport Accidents,1983,17.9,,,,
Argentina,Ischaemic heart diseases,1983,202.4,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1983,53.6,,,,
Argentina,Pneumonia,1983,45.4,,,,
Argentina,Malignant neoplasms,1983,260.1,,,,
Argentina,Diseases of the nervous system,1983,14.3,,,,
Argentina,Malignant neoplasms of bladder,1983,8.3,,,,
Argentina,Intentional self-harm,1983,9.1,,,,
Argentina,Accidents,1983,49.1,,,,
Argentina,Tuberculosis,1983,9.2,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1983,26.7,,,,
Argentina,Mental and behavioural disorders,1983,8.6,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1983,9.2,,,,
Argentina,Malignant neoplasms of liver,1983,9.7,,,,
Argentina,Diseases of the genitourinary system,1983,38.7,,,,
Argentina,Chronic obstructive pulmonary diseases,1983,14.8,,,,
Argentina,Malignant neoplasms of stomach,1983,21.9,,,,
Argentina,Diabetes mellitus,1983,33.8,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1983,43.6,,,,
Argentina,Diseases of the digestive system,1983,80,,,,
Argentina,Assault,1983,5.2,,,,
Argentina,Acute myocardial infarction,1983,117.1,,,,
Argentina,Leukemia,1983,6.9,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1983,0.8,,,,
Argentina,External causes of mortality,1983,79.1,,,,
Argentina,Diseases of the circulatory system,1983,900.3,,,,
Argentina,Total,1983,1671.7,,,,
Argentina,"Symptoms, signs, ill-defined causes",1983,50.7,,,,
Argentina,Accidental falls,1983,11.2,,,,
Argentina,Cerebrovascular diseases,1983,191.8,,,,
Argentina,Diseases of the respiratory system,1983,103.9,,,,
Argentina,Accidental poisoning,1983,1.2,,,,
Argentina,Influenza,1983,0.4,,,,
Argentina,Neoplasms,1983,266.5,,,,
Argentina,Certain infectious and parasitic diseases,1984,37.4,,,,
Argentina,Dementia,1984,3.5,,,,
Argentina,Peptic ulcer,1984,3.8,,,,
Argentina,Chronic liver diseases and cirrhosis,1984,20,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1984,2.4,,,,
Argentina,Diseases of the blood and blood-forming organs,1984,4.7,,,,
Argentina,Malignant melanoma of skin,1984,1.1,,,,
Argentina,Certain conditions originating in the perinatal period,1984,19,,,,
Argentina,Transport Accidents,1984,17.1,,,,
Argentina,Ischaemic heart diseases,1984,189.8,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1984,54.6,,,,
Argentina,Pneumonia,1984,42.4,,,,
Argentina,Malignant neoplasms,1984,248.9,,,,
Argentina,Diseases of the nervous system,1984,13.2,,,,
Argentina,Malignant neoplasms of bladder,1984,7.7,,,,
Argentina,Accidents,1984,47.8,,,,
Argentina,Intentional self-harm,1984,9,,,,
Argentina,Tuberculosis,1984,7.6,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1984,25,,,,
Argentina,Mental and behavioural disorders,1984,9.3,,,,
Argentina,"Congenital malformations, deformations and chromosomal abnormalities",1984,8.4,,,,
Argentina,Malignant neoplasms of liver,1984,9.1,,,,
Argentina,Diseases of the genitourinary system,1984,36.9,,,,
Argentina,Chronic obstructive pulmonary diseases,1984,14.1,,,,
Argentina,Malignant neoplasms of stomach,1984,21,,,,
Argentina,Diabetes mellitus,1984,32.9,,,,
Argentina,"Malignant neoplasms of trachea, bronchus, lung",1984,40.7,,,,
Argentina,Diseases of the digestive system,1984,74.5,,,,
Argentina,Assault,1984,5.6,,,,
Argentina,Acute myocardial infarction,1984,109.2,,,,
Argentina,Leukemia,1984,6.8,,,,
Argentina,Diseases of the skin and subcutaneous tissue,1984,0.8,,,,
Argentina,External causes of mortality,1984,71.9,,,,
Argentina,Diseases of the circulatory system,1984,877.9,,,,
Argentina,"Symptoms, signs, ill-defined causes",1984,51.5,,,,
Argentina,Accidental falls,1984,10.4,,,,
Argentina,Cerebrovascular diseases,1984,181.1,,,,
Argentina,Diseases of the respiratory system,1984,100.3,,,,
Argentina,Accidental poisoning,1984,1.3,,,,
Argentina,Influenza,1984,0.5,,,,
Argentina,Neoplasms,1984,256.2,,,,
Argentina,Total,1984,1620.4,,,,
Argentina,Certain infectious and parasitic diseases,1985,37.7,,,,
Argentina,Dementia,1985,3.6,,,,
Argentina,Peptic ulcer,1985,3.4,,,,
Argentina,Diseases of the musculoskeletal system and connective tissue,1985,2.7,,,,
Argentina,Chronic liver diseases and cirrhosis,1985,16.1,,,,
Argentina,Diseases of the blood and blood-forming organs,1985,3.9,,,,
Argentina,Malignant melanoma of skin,1985,1,,,,
Argentina,Certain conditions originating in the perinatal period,1985,17.5,,,,
Argentina,Transport Accidents,1985,13.6,,,,
Argentina,Ischaemic heart diseases,1985,168.5,,,,
Argentina,"Endocrine, nutritional and metabolic diseases",1985,50.5,,,,
Argentina,Pneumonia,1985,36.5,,,,
Argentina,Malignant neoplasms,1985,249.3,,,,
Argentina,Diseases of the nervous system,1985,13,,,,
Argentina,Malignant neoplasms of bladder,1985,7.9,,,,
Argentina,Accidents,1985,40.5,,,,
Argentina,Intentional self-harm,1985,9.7,,,,
Argentina,Tuberculosis,1985,6.7,,,,
Argentina,"Malignant neoplasms of colon, rectum and anus",1985,26.5,,,,
